SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Buds,203.6,59,3060.69
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),8.0,7,470.0
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Infused (edible),98.0,82,2365.74
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),5.0,5,100.0
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Infused Beverage,44.0,20,397.8
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,0.75,1,20.0
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,36.25,19,514.65
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Couriers,Vape Product,37.0,31,2410.0
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Operators,Buds,17.5,3,250.0
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Operators,Infused (edible),24.0,22,533.34
2001-01-01 - 2026-04-12,2021-07-23,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,23.1,10,408.4
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Buds,102.5,29,1499.04
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),7.0,7,334.0
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Infused (edible),40.0,36,934.19
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),2.0,1,40.0
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Infused Beverage,8.0,6,51.8
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,20.75,11,301.98
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Couriers,Vape Product,25.0,20,1285.0
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Operators,Buds,16.0,5,233.34
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Operators,Concentrate (Each),2.0,2,125.0
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Operators,Infused (edible),20.0,17,508.35
2001-01-01 - 2026-04-12,2021-07-24,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,12.3,5,212.53
2001-01-01 - 2026-04-12,2021-07-25,Historical,Adult-Use,Delivery Couriers,Buds,130.5,41,1840.0
2001-01-01 - 2026-04-12,2021-07-25,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),3.0,3,101.0
2001-01-01 - 2026-04-12,2021-07-25,Historical,Adult-Use,Delivery Couriers,Infused (edible),18.0,16,406.32
2001-01-01 - 2026-04-12,2021-07-25,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),1.0,1,20.0
2001-01-01 - 2026-04-12,2021-07-25,Historical,Adult-Use,Delivery Couriers,Infused Beverage,2.0,1,36.0
2001-01-01 - 2026-04-12,2021-07-25,Historical,Adult-Use,Delivery Couriers,Kief,5.3,1,30.0
